Date,Predicted Sales,ITEM
2019-06-01,734.9871020838607,HEINEKEN LOOSE NR - 12OZ
2019-07-01,1293.0133071091195,HEINEKEN LOOSE NR - 12OZ
2019-08-01,706.9918519172356,HEINEKEN LOOSE NR - 12OZ
2019-09-01,1084.0042523836782,HEINEKEN LOOSE NR - 12OZ
2019-10-01,518.9991342415424,HEINEKEN LOOSE NR - 12OZ
2019-11-01,1118.0034797733827,HEINEKEN LOOSE NR - 12OZ
2020-01-01,681.0132856197476,HEINEKEN LOOSE NR - 12OZ
2020-03-01,787.0052298847756,HEINEKEN LOOSE NR - 12OZ
2020-07-01,628.0121309630124,HEINEKEN LOOSE NR - 12OZ
2020-09-01,453.0052359702455,HEINEKEN LOOSE NR - 12OZ
2020-10-01,727.1704657418683,HEINEKEN LOOSE NR - 12OZ
2020-11-01,731.9555765375383,HEINEKEN LOOSE NR - 12OZ
2020-12-01,1666.9110955887977,HEINEKEN LOOSE NR - 12OZ
2021-01-01,560.0915520538556,HEINEKEN LOOSE NR - 12OZ
2021-02-01,692.8775491561404,HEINEKEN LOOSE NR - 12OZ
2021-03-01,922.7864915569733,HEINEKEN LOOSE NR - 12OZ
