DATE,RETAIL SALES
2017-06-01,97357.26
2017-07-01,92625.29
2017-08-01,87111.78
2017-09-01,90452.6
2017-10-01,89236.96
2017-11-01,98316.19
2017-12-01,131634.49
2018-01-01,75791.77
2018-02-01,77804.13
2019-01-01,76100.53
2019-02-01,80113.54
2019-03-01,84441.04
2019-04-01,80342.58
2019-05-01,94953.1
2019-06-01,90860.39
2019-07-01,90763.48
2019-08-01,90628.61
2019-09-01,82126.21
2019-10-01,88230.41
2019-11-01,101631.31
2020-01-01,74318.77
2020-03-01,109411.29
2020-07-01,94538.96
2020-09-01,82108.68
