ITEM_DESCRIPTION,RETAIL_SALES
2ND SHIFT BREW HIBISCUS WIT - 1/2K,0.0
2ND SHIFT BREW CAT SPIT STOUT OATMEAL MILK 6/4 CANS - 16OZ,0.0
2ND SHIFT BREW CAT SPIT STOUT OATMEAL MILK - 1/6K,0.0
2ND SHIFT BREW ART OF NEUROSIS AMER IPA 6/4 CANS - 16OZ,0.0
2BROS WOBBLE IPA 4/6 NR,0.0
2BROS NORTHWIND 4/6 NR,0.0
2BROS BLOOD PINBALL 4/6 CANS,0.0
ROWEN RED BLEND - 750ML,0.0
3 STARS 808 6/4 16OZ CANS,0.0
3 STARS 808 1/6 KEG,0.0
3 STARS / UNION HOPPING UP HEAVENS 6/4 16OZ CANS,0.0
3 STARS / MANOR HILL COLLAB 6/4 16OZ CANS,0.0
3 STARS LOW HANGING FRUIT 1/6 KEG,0.0
3 STARS #ULTRA FRESH 1/6 KEG,0.0
3 SISTERS & A BROTHER SHZ - 750ML,0.0
3 SISTERS & A BROTHER RED - 750ML,0.0
3 GIRLS RED BLEND - 750ML,0.0
3 GIRLS PET/SYR - 750ML,0.0
ROW ELEVEN RUSSIAN RIVER PINOT NOIR - 750ML,0.0
ZLATO PRAZSKE LAGER 750 ML,0.0
ZISOLA NERO D'AVOLA - 750ML,0.0
ZION MUSCAT HAMBURG - 750ML,0.0
ROTH ESTATE SON P/NOIR - 750ML,0.0
ZION DOLEV MOSCATO - 750ML,0.0
3 STARS CITRA LEMON SAISON SIXTEL,0.0
3 STARS CITRA LEMON SAISON 6/4 16OZ CANS,0.0
3 STARS CITRA LEMON SAISON - 1/2K,0.0
3 STARS CAN'T YOU SEE THE SUNSHINE 6/4 CANS,0.0
3 STARS PEPPERCORN SAISON 12.0Z 6PK CAN,0.0
3 STARS BREWING TROUBLE IN PARADISE - 1/6 KEG,0.0
3 STARS BREWING MIC SAISON 24/12OZ NR,0.0
3 STARS BREWING GHOST WHITE IPA 1/6KEG,0.0
3 STARS BOYZEN DA HOOD 6/4 16OZ CANS,0.0
3 STARS BOYZEN DA HOOD 1/6 KEG,0.0
3 STARS BOUT THAT LIFE 375ML,0.0
3 STARS ASTRO LAB CROSSTOWN TRAFFIC 6/4 16OZ CAN,0.0
3 STARS ASTRO LAB CROSSTOWN TRAFFIC 1/6 KEG,0.0
3 STARS ASTRO LAB CROSSTOWN TRAFFIC 1/2 KEG,0.0
3 STARS ABOVE THE CLOUDS 1/6 KEG,0.0
3 STARS ABOVE THE CLOUDS - 1/2K,0.0
3 STARS NATURAL MYSTIC 6/4 16OZ CANS,0.0
3 STARS NATURAL MYSTIC 1/6 KEG,0.0
3 STARS MADNESS 6/4 12OZ CANS,0.0
3 STARS MADNESS 1/6 KEG,0.0
3 STARS LOW HANGING FRUIT 6/4 16OZ CANS,0.0
3 STARS STRAWBERRY LOW HANGING FRUIT 6/4 16OZ C,0.0
3 STARS HUGGY BEAR 1/6 KEG,0.0
3 STARS HABEUS CORPSES 12/375ML NR,0.0
3 STARS GRAND CRU 375ML NR,0.0
3 STARS GHOST WHITE IPA - 1/2K,0.0
3 STARS FUNKYARD DOG - 375ML,0.0
3 STARS DISSONANCE 1/6 KEG,0.0
3 STARS DIAMONDS ARE FOREVER 1/6 KEG,0.0
3 STARS DIAMONDS ARE FOREVER 1/2 KEG,0.0
3 STARS DEVIL IS LISTENING 6/4 16OZ CANS,0.0
3 STARS DEVIL IS LISTENING 1/6 KEG,0.0
3 STARS SOUTHERN BELLE 1/2K,0.0
3 STARS SABERTOOTH UNICORN 12/375ML,0.0
3 STARS RASPBERRY DISSONANCE 6/4 16OZ CANS,0.0
3 STARS POWER OF LOVE 6/4 16OZ CANS,0.0
3 STARS POWER OF LOVE 1/6 KEG,0.0
3 STARS POUNDING TREES 1/6 KEG,0.0
3WV APRICOT WHEAT 4/6 CANS,0.0
3 STARS PEPPERCORN SAISON 1/6 KEG,0.0
3 STARS PEPPERCORN SAISON - 1/2K,0.0
3 STARS NUTHIN BUT LACS 1/6 KEG,0.0
3 STARS NOT YOUR MOMS ICED TEA 4/6 12OZ NR,0.0
ROTH ESTATE SON MER - 750ML,0.0
3 STARS NEVER SAY NEVER 1/6 KEG,0.0
3 STARS NEVER SAY NEVER 1/2 KEG,0.0
3 STARS NECTAR OF THE BOGS 6/4 16OZ CAN,0.0
3 STARS NECTAR OF THE BOGS 1/6 KEG,0.0
3 STARS WET HOP IPA 6/4 16OZ CANS,0.0
3 STARS TWO TO THE DOME 6/4 16OZ CANS,0.0
3 STARS TWO TO THE DOME 1/6 KEG,0.0
3 STARS TROUBLE IN PARADISE 6/4 16Z CN,0.0
3 STARS TECHNICOLOR LIFE 1/6 KEG,0.0
3 STARS TECHNICOLOR LIFE 1/2 KEG,0.0
